o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 1010 | (REF) 1010 : [MATCH] 
o_data : (DUT) 1101 | (REF) 1101 : [MATCH] 
o_data : (DUT) 1000 | (REF) 1000 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 1000 | (REF) 1000 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 1000 | (REF) 1000 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 1000 | (REF) 1000 : [MATCH] 
o_data : (DUT) 1111 | (REF) 1111 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 1000 | (REF) 1000 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 1000 | (REF) 1000 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 0011 | (REF) 0011 : [MATCH] 
o_data : (DUT) 1110 | (REF) 1110 : [MATCH] 
o_data : (DUT) 1000 | (REF) 1000 : [MATCH] 
o_data : (DUT) 1000 | (REF) 1000 : [MATCH] 
o_data : (DUT) 1001 | (REF) 1001 : [MATCH] 
o_data : (DUT) 1000 | (REF) 1000 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 0111 | (REF) 0111 : [MATCH] 
o_data : (DUT) 1010 | (REF) 1010 : [MATCH] 
